16, 16, 16, 64, 33024.19742, 33.02420
16, 16, 32, 64, 29491.86672, 29.49187
16, 16, 64, 64, 18442.82444, 18.44282
32, 32, 16, 128, 38277.49253, 38.27749
32, 32, 32, 128, 76505.41051, 76.50541
32, 32, 64, 128, 116293.01616, 116.29302
48, 48, 16, 128, 57442.14302, 57.44214
48, 48, 32, 128, 53047.20497, 53.04720
48, 48, 64, 128, 34157.23002, 34.15723
64, 64, 16, 64, 129753.67737, 129.75368
64, 64, 32, 128, 178577.19167, 178.57719
64, 64, 64, 128, 266632.76392, 266.63276
80, 80, 16, 128, 72666.73971, 72.66674
80, 80, 32, 128, 73703.29344, 73.70329
80, 80, 64, 128, 50534.63552, 50.53464
96, 96, 16, 128, 51338.02808, 51.33803
96, 96, 32, 128, 102689.80780, 102.68981
96, 96, 64, 128, 179884.20991, 179.88421
112, 112, 16, 128, 65308.89861, 65.30890
112, 112, 32, 128, 102828.31492, 102.82831
112, 112, 64, 128, 79306.63422, 79.30663
128, 128, 16, 128, 151975.10719, 151.97511
128, 128, 32, 128, 213681.42085, 213.68142
128, 128, 64, 128, 341211.85278, 341.21185
144, 144, 16, 128, 68461.73494, 68.46173
144, 144, 32, 128, 119215.96329, 119.21596
144, 144, 64, 128, 98652.28652, 98.65229
160, 160, 16, 128, 54670.04078, 54.67004
160, 160, 32, 128, 109171.11469, 109.17111
160, 160, 64, 128, 200160.56417, 200.16056
176, 176, 16, 128, 70442.00852, 70.44201
176, 176, 32, 128, 132093.95020, 132.09395
176, 176, 64, 128, 116083.75482, 116.08375
192, 192, 16, 256, 146426.58416, 146.42658
192, 192, 32, 128, 112208.15382, 112.20815
192, 192, 64, 128, 150452.27536, 150.45228
208, 208, 16, 1024, 53743.88445, 53.74388
208, 208, 32, 1024, 68928.85067, 68.92885
208, 208, 64, 1024, 47328.62658, 47.32863
224, 224, 16, 1024, 39934.09042, 39.93409
224, 224, 32, 128, 68571.36281, 68.57136
224, 224, 64, 128, 94539.08518, 94.53909
