1d,16,16,16,1,1,36.8244,32
1d,16,16,16,1,2,20.1247,64
1d,16,16,16,1,3,33.7213,96
1d,16,16,16,1,4,11.8311,128
1d,16,16,16,1,6,16.9648,192
1d,16,16,16,1,8,13.0966,256
1d,16,16,16,1,16,11.7406,512
1d,32,32,32,1,1,66.3375,32
1d,32,32,32,2,2,22.7318,64
1d,32,32,32,2,3,21.8454,96
1d,32,32,32,2,4,19.1432,128
1d,32,32,32,2,6,21.4173,192
1d,32,32,32,2,8,19.1855,256
1d,32,32,32,2,16,18.938,512
1d,64,64,64,1,1,49.8355,32
1d,64,64,64,2,2,28.2255,64
1d,64,64,64,2,3,23.4581,96
1d,64,64,64,4,4,15.7936,128
1d,64,64,64,4,6,15.9418,192
1d,64,64,64,4,8,16.5204,256
1d,64,64,64,4,16,17.0705,512
1d,128,128,128,1,1,14.672,32
1d,128,128,128,2,2,5.69804,64
1d,128,128,128,2,3,5.66556,96
1d,128,128,128,4,4,21.5903,128
1d,128,128,128,4,6,19.3614,192
1d,128,128,128,8,8,56.1885,256
1d,128,128,128,8,16,48.18,512
1d,192,192,192,2,2,16.6382,64
1d,192,192,192,3,3,16.8261,96
1d,192,192,192,4,4,3.33444,128
1d,192,192,192,6,6,9.37509,192
1d,192,192,192,6,8,9.29977,256
1d,192,192,192,12,16,53.1597,512
